AnimalID,breed,sex,receiptnumber,dateimpounded,name,dispositiondate,color,approxweight,agecategory,source,status
14386,guinea pig,m,n/c,2006-10-12,cruciferous,unknown,['red'],1 lbs,unknown,holding stray,sold
14391,border collie mix,f/s,dvp,2006-10-13,nicki,unknown,"['black', 'white']",unknown,unknown,holding stray,ride home free
14392,labrador,m/n,22625-ard,2006-10-13,jagger,unknown,['black'],80 lbs,unknown,police-night,redeemed
14394,hound mix terrier,f/s,22618-ard,2006-10-13,sammie,unknown,['tri-colour'],30 lbs,unknown,holding stray,redeemed
14397,standard poodle mix,f,n/c,2006-10-14,sam,unknown,"['black', 'white']",35 lb,unknown,holding stray,ride home free
14404,retriever,f/s,rf4,2006-10-16,goldfield cookies & crème,unknown,['golden'],65 lbs,unknown,holding stray,ride home free
14411,border collie mix,m/n,22644dk,2006-10-19,little rock,unknown,['black some white'],45lbs.,unknown,spca,sold
14416,shepherd mix,f/s,n/c,2006-10-20,lulu,unknown,"['black', 'tan']",45lbs,unknown,holding stray,ride home free
14417,cockapoo,f,unknown,2006-10-20,cuddles,unknown,['white'],35lbs.,unknown,holding stray,ride home free
14419,golden retriever,m/n,22663-ard,2006-10-21,nono (was colby),unknown,['golden'],65 lbs,unknown,holding stray,redeemed
14420,lab mix,m,22642 - skj,2006-10-21,darth vader,unknown,['black'],90 lbs,unknown,holding stray,redeemed
14433,terrier mix,m/n,22658 jn1,2006-10-28,milo,unknown,"['white', ' brown']",35lbs,unknown,brought-in,redeemed
14434,shepherd mix,f/s,22656-ard,2006-10-28,lulu,unknown,"['black', 'tan']",50 lbs.,unknown,holding stray,redeemed
14435,shep mix rotty  (pup),m,22660-ard,2006-10-28,ozzie,unknown,"['black', 'tan']",20 lbs,unknown,holding stray,redeemed
14440,california king snake,x,unknown,2006-10-29,cobra,unknown,"['black', 'yellow']",.5,unknown,holding stray,transferred
14441,pug mix,f/s,nc bc3,2006-10-29,niki,unknown,['fawn'],10lbs,unknown,holding stray,ride home free
14443,golden retriever mix (wire hair),m/n,22237 rf4,2006-10-30,torry,unknown,['golden'],75,unknown,brought-in,redeemed
14445,cockapoo,m/n,jn12,2006-10-24,fitz,unknown,['grey'],unknown,unknown,holding stray,ride home free
14448,sharpei,f/s,22564 - skj,2006-10-01,wilma  (now pebbles),unknown,['tan'],40 lbs,unknown,brought-in,sold
14450,rotty mix shep,f/s,n/c,2006-08-04,jewel,unknown,"['black', 'brown']",50 lbs.,unknown,holding stray,health
14452,am staff mix lab,m,n/c,2006-09-06,bullwinkle,unknown,['reddish brown'],65 lbs,unknown,brought-in,behavior
14455,guinea pig,f,n/c,2006-10-12,pebbles,unknown,['red'],unknown,unknown,holding stray,sold
14469,cockapoo,m/n,22675-dvp,2006-11-01,jessie,unknown,['buff'],25 lbs,unknown,holding stray,redeemed
14470,dobie mix shep,m/n,22247rf4,2006-11-01,clancy,unknown,"['black', 'tan']",63,unknown,other,sold
14472,cockapoo,m/n,"22678,mc",2006-11-02,fitz,unknown,['grey'],12lbs,unknown,holding stray,redeemed
14474,lab mix border collie,m/n,22687 jn12,2006-11-02,alfie,unknown,['black'],40,unknown,other,sold
14485,border collie mix,m,n/c,2006-11-07,unknown,unknown,"['black', 'white']",40 lbs,unknown,police-night,ride home free
14489,golden retriever,m/n,22245 rf4,2006-11-10,jake,unknown,['blonde'],90 lbs,unknown,holding stray,redeemed
14490,jack russell terrier,m,22805 dt,2006-11-11,buddy,unknown,"['white', 'black &tan markings']",10lbs,unknown,holding stray,redeemed
14495,beagle mix,f,22811 ks,2006-11-12,charlotte,unknown,['tri colour'],15 lbs,unknown,brought-in,redeemed
14497,lab mix mastiff,m,unknown,2006-11-13,gumby,unknown,"['black', 'white']",60 lbs.,unknown,brought-in,health
14500,akita,f,22241rf4,2006-11-14,keeko,unknown,"['black', 'white']",80lbs,unknown,holding stray,redeemed
14505,jack russell,m/n,"22821,mc",2006-11-14,skye,unknown,"['white', 'black', 'brown ears']",20 lbs,unknown,holding stray,sold
14506,terrier mix,m,unknown,2006-11-15,unknown,unknown,['blonde'],40 lbs,unknown,complaint,transferred
14507,king charles cavalier mix,m/n,22847-dvp,2006-11-15,bobo,unknown,['black'],20lbs,unknown,brought-in,sold
14510,border collie mix,f/s,unknown,2006-11-16,unknown,unknown,"['black', 'white']",45lbs,unknown,patrol,ride home free
