,date,breed,color,name,sex,state
181,1999-03-19T00:00:00+00:00,Chow X,Golden & Orange,,M/N,Lost
182,1999-03-19T00:00:00+00:00,P B Shep,Black & Tan,Chupkin,M,Lost
183,1999-03-19T00:00:00+00:00,Rottweiler,Black & Tan,King,M/N,Lost
184,1999-03-20T00:00:00+00:00,Dalmation,Black & White,Perry,M,Matched
185,1999-03-20T00:00:00+00:00,Maltipoo,White,,M,Matched
186,1999-03-20T00:00:00+00:00,Norweigan Elkhound,Multi Grey,Tessa,F,Lost
187,1999-03-20T00:00:00+00:00,Norweign Elkhound,Black & Grey,Tessa,F/S,Matched
188,1999-03-20T00:00:00+00:00,Shep,Black & Tan,Chubkin,M,Lost
189,1999-03-20T00:00:00+00:00,Shep X Lab,Black,,M,Found
190,1999-03-20T00:00:00+00:00,Weimareiner,Grey,Galahad,M,Lost
191,1999-03-21T00:00:00+00:00,Maltese,White,Fluffy,M,Lost
192,1999-03-21T00:00:00+00:00,Pit X  Greyhound,Brownish Black,Sophie,F,Lost
193,1999-03-21T00:00:00+00:00,Sheltie,Gold & White,Tim,M/N,Lost
194,1999-03-22T00:00:00+00:00,Australian Blue Heeler,Brown with Grey white tail,Roxy,F,Lost
195,1999-03-22T00:00:00+00:00,Pomeranian,Orange,Ruby,M,Lost
196,1999-03-23T00:00:00+00:00,Chow,Rust,Chewy,M,Lost
197,1999-03-23T00:00:00+00:00,Sheltie X,Black & White some brown,Brew,M/N,Lost
198,1999-03-23T00:00:00+00:00,Terrier X,White & Brown patch over eye,Simba,M/N,Lost
199,1999-03-24T00:00:00+00:00,Husky,Black & White,Yukon,M/N,Lost
200,1999-03-24T00:00:00+00:00,Husky X Chesapeke,Red,Wosco,F/S,Lost
201,1999-03-24T00:00:00+00:00,Malamute X Shep,Black & Tan & White,,M,Matched
202,1999-03-24T00:00:00+00:00,Manchester Terrier,Black & Brown,Huggy,M/N,Lost
203,1999-03-25T00:00:00+00:00,Cocker Spaniel,Black,Faul,M/N,Lost
204,1999-03-25T00:00:00+00:00,Husky X,White,,F,Found
205,1999-03-26T00:00:00+00:00,Shep X,Black & Tan,Karen,F/S,Lost
206,1999-03-27T00:00:00+00:00,Dalmation,Black & White Spots,,F/S,Lost
207,1999-03-27T00:00:00+00:00,Golden Retriever,Gold,,F,Lost
208,1999-03-28T00:00:00+00:00,Bichon Frise,White,Lady,F/S,Lost
209,1999-03-28T00:00:00+00:00,Golden Retreiver,Golden,Sasha,F/S,Lost
210,1999-03-28T00:00:00+00:00,Lab X Pointer,Black,Lady,F/S,Matched
211,1999-03-28T00:00:00+00:00,Shep X,Black & Tan,,F,Found
212,1999-03-29T00:00:00+00:00,Husky,Black & White,Glacier,F/S,Matched
