,date,breed,color,sex,state,name
253,1999-04-20,lhaso apso,"['white', 'brown']",m,lost,patch
254,1999-04-21,boxer,['brindle'],f,found,unknown
255,1999-04-21,retreiver,['golden red'],f/s,lost,molly
256,1999-04-22,shep mix rott,"['black', 'tan']",m/n,lost,unknown
257,1999-04-23,peki  mix shih,"['black', 'whtie']",m,lost,kujo
258,1999-04-23,pug,"['beige ', 'black']",m,matched,unknown
259,1999-04-23,shep mix,"['black', 'tan']",f/s,found,unknown
260,1999-04-23,shep mix wolf,"['grey', 'brown']",m/n,matched,lucas
261,1999-04-24,pitbull,['lite brown'],f/s,matched,shami
262,1999-04-24,pitbull  mix,"['black', 'white']",m,lost,clouseau
263,1999-04-24,pomeranian,"['brown', 'gold']",f,lost,hooler
264,1999-04-24,rott,"['black', 'tan']",f,lost,xena
265,1999-04-24,shep,"['black', 'tan']",m/n,found,dasher
266,1999-04-25,boxer,['fawn'],f/s,lost,sophie
267,1999-04-25,keeshound,"['brown', 'white']",m,matched,caviar
268,1999-04-25,lab mix chesapeake,"['brown', 'black']",f,lost,jackie madeleine
269,1999-04-25,lab mix rott,['black'],m/n,lost,k.c.
270,1999-04-25,pom,['orange'],m/n,lost,popeye
271,1999-04-25,poodle,['apricot'],m/n,found,unknown
272,1999-04-26,lhasa apso,['white'],m/n,matched,lindo
273,1999-04-26,lhasa apso,['white'],m/n,matched,sprinkle
274,1999-04-26,pitbull,['brindle'],m,found,unknown
275,1999-04-27,lab mix,"['white', 'tan']",f,lost,tasha
276,1999-04-27,shep mix,"['black', 'tan']",f,found,unknown
277,1999-04-28,akita,"['black', 'tan']",m,found,unknown
278,1999-04-28,dog,['black'],m,found,unknown
279,1999-04-28,poodle,"['white', 'apricot']",m,lost,bailey
280,1999-04-28,siberian husky,"['black', 'white']",m/n,lost,bo
281,1999-04-29,border collie,"['black', 'white']",f,matched,mitzi
282,1999-04-29,sheltie,"['black', 'white']",m,lost,fullie
283,1999-04-29,toy pomeranian,['orange'],m/n,lost,manny
284,1999-04-30,chow (2 dogs same),['brown'],m,matched,unknown
285,1999-04-30,dalmation,"['black', 'white']",m,found,unknown
286,1999-04-30,greyhound,"['brown', 'white']",m,matched,unknown
287,1999-04-30,husky mix shep,"['white', 'grey', 'tan']",m/n,lost,moses
288,1999-04-30,rott,"['black', 'tan']",m,matched,unknown
289,1999-05-02,corgi mix shep mix bassett,"['black', 'tan']",m,matched,unknown
290,1999-05-02,irish terrier,['rusty red'],m/n,lost,rusty
291,1999-05-02,labx,"['black', 'white chest']",m/n,found,unknown
292,1999-05-03,golden retreiver,['gold'],m/n,lost,rupert
293,1999-05-03,golden retreiver,['golden'],m/n,lost,unknown
294,1999-05-03,lab mix,['black'],f/s,lost,jay
295,1999-05-04,dalmation,"['white', 'black spots']",m/n,matched,unknown
296,1999-05-04,doberman mix,"['red', 'brown']",m,lost,cypress
297,1999-05-04,rhodesian ridgeback,['gold'],m,matched,agano
298,1999-05-05,husky mix,"['black', 'tan', 'white']",m/n,lost,winter
299,1999-05-05,lab mix,['black'],f,matched,unknown
300,1999-05-05,shep mix husky,"['black', 'tan']",m/n,lost,homer
301,1999-05-07,boxer,"['brown', 'white brindle']",m,lost,coda
302,1999-05-07,chi mix poodle,"['tan', 'white']",m,matched,shadow
303,1999-05-07,silver fox sheltie,"['silver', 'white']",m/n,matched,chimo
304,1999-05-08,boxer,['red brindle'],m,matched,tarzan
305,1999-05-08,retriever,['golden'],m,lost,billy
306,1999-05-08,shep mix rott,"['black', 'tan']",m,lost,dash
307,1999-05-08,shepherd  mix,"['black', 'tan']",f,found,unknown
308,1999-05-10,amer. retriever,['red'],f,lost,molly
309,1999-05-10,shih tzu mix,"['black', 'brown', 'white']",m,found,unknown
310,1999-05-10,wolf mix,"['grey', 'white spots over eye']",m,lost,teak
311,1999-05-11,chihuahua,['dark brown'],m,found,unknown
312,1999-05-11,pitbull & chihuahua,['brown'],f,lost,unknown
313,1999-05-12,german short haired pointer,"['dark brown', 'white']",f,lost,asia
314,1999-05-12,lab mix shep,"['black', 'tan']",m,lost,jazu
315,1999-05-12,shep mix,"['black', 'tan']",f/s,lost,ramona
316,1999-05-13,alaskan husky,['black'],m,matched,jordon
317,1999-05-13,retriever,['golden'],m,matched,magic
318,1999-05-13,retriever - 15 yrs old,['red'],f,lost,unknown
319,1999-05-14,brussels griffon,['brown'],m,matched,scamp
320,1999-05-14,newfie mix lab,['black'],m/n,matched,andrew
321,1999-05-14,shep mix lab,"['brown', 'black', 'white']",m,lost,jazzoo
