AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO
28067;Rat, Fancy x 2 Female;;F;DI 17-314130 DB;2017-04-13;;Padme & Leia;200;2017-11-28;White/Brown;;;Adult;OTHER;Sold;40
28068;Husky;;F;DI 17-213202;2017-04-13;;Burberry;200;2017-04-16;White;;;Adult;BROUGHT-IN;Redeemed;
28069;Labrador;;M/N;DI 17-213449;2017-04-13;;Daniel;200;2017-04-15;Golden;;;Adult;HOLDING STRAY;Redeemed;ACO 40
28078;Husky;;F;DI 17-215213;2017-04-17;;Bella;200;2017-04-20;White;;;Adult;HOLDING STRAY;Redeemed;42
28084;Budgie;;M;;2017-04-18;;Bluebird;100;2017-05-30;Blue/Green;;;Adult;HOLDING STRAY;Transferred;
28087;Rabbit, New Zealand White;;F/S;DA 18-501648 DB;2017-04-19;;Snowberry (new Name);200;2018-01-12;White;;;Adult;BROUGHT-IN;Sold;
28088;Lab X;;M/N;DI 17-214822;2017-04-19;;Rooty Hot Rod Johnson;200;2017-04-19;Black/White blaze on chest;;;Adult;HOLDING STRAY;Redeemed;27
28090;Lab X;;F;n/c;2017-04-21;;Takaya;200;2017-04-21;Black;;;Senior;HOLDING STRAY;Redeemed;41
28092;Pit X;;F;DI 16-296045;2017-04-22;;Rusty;200;2017-04-23;Brindle;;;;HOLDING STRAY;Redeemed;41
28095;Lab X;;M;DI 17-216787 DB;2017-04-25;;Rooty Hotrod Johnson;200;2017-04-25;Black/White blaze on chest;;;Young Adult;BROUGHT-IN;Redeemed;3
28100;Labrador;;M/N;DG 17-217913 AK;2017-04-26;;Billy;200;2017-04-27;Yellow;;;Adult;HOLDING STRAY;Redeemed;ACO 41
28102;Bernese Mtn. Dog;;M/N;17-218033 DI;2017-04-27;;Cooper;200;2017-04-27;Black;;;Puppy;HOLDING STRAY;Redeemed;11
28105;Shih Tzu;;F;n/c;2017-04-28;;Sparky;400;2017-04-28;Tan;;;Adult;HOLDING STRAY;Ride Home Free;32
28108;Guinea Pig;;F;;2017-04-29;;Portia;100;2017-08-17;Tri colored;;;Adult;HOLDING STRAY;Transferred;34
28111;Chihuahua;;M;DI 17-221512;2017-04-30;;Jeff;200;2017-05-01;Cream;;;Adult;HOLDING STRAY;Redeemed;43
28113;Whippet;;M;DI 17-221261;2017-04-30;;Dave;200;2017-05-01;Grey;;;Senior;HOLDING STRAY;Redeemed;42
28114;Basset Hound;;M/N;DI 17-221572 KW;2017-05-01;;Riggs;200;2017-05-01;White, caramel, brown;;;Adult;HOLDING STRAY;Redeemed;26/3
28118;Miniature Poodle X;;M;DI 17-222194 -MA;2017-05-02;;Noodle;200;2017-05-03;Tan;;;Young Adult;HOLDING STRAY;Redeemed;41
28119;Germ. S/Haired Pointer;;M;;2017-05-04;;Remington;400;2017-05-04;Brown;;;Young Adult;HOLDING STRAY;Ride Home Free;11/26
28130;Toy Poodle;;M;DI 17-226061 DB;2017-05-09;;Little Boy Blue;200;2017-05-09;Brown;;;Puppy;HOLDING STRAY;Redeemed;27
28131;Lab X;;M;DI 17-226018 DB;2017-05-09;;"Rooty ""Hotrod"" Johnson";200;2017-05-09;Black/White blaze on chest;;;Young Adult;BROUGHT-IN;Redeemed;
28134;Fox Terrier;;M;DI 17-227232 AK;2017-05-11;;Peanutbudder;200;2017-05-11;White;;;Senior;HOLDING STRAY;Redeemed;3
28146;Pit Bull;;M;n/c - see notes;2017-05-14;;Mr. Brutus;200;2017-05-16;Brown;;;Young Adult;POLICE-DAY;Redeemed;42
28147;Aust. Shepherd;;M;DI 17-230319 DB;2017-05-16;;Cole;200;2017-05-17;Black;;;Adult;HOLDING STRAY;Redeemed;42
28150;Chihuahua;;F;DI 17-230401 DB;2017-05-17;;Lulu;200;2017-05-17;Tan/White;;;Adult;BROUGHT-IN;Redeemed;
